"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean";"AC_var"
1;-0,192297955644377;1,05658470837607;0,9;;;;
2;-0,0915537160709621;1,14075940792417;1;1,75586853284674;1,64275759105275;-0,5;-0,5
3;-0,0364730598006144;1,02587629503821;1;1,4296903533412;1,27278711406239;-0,660504018092506;-0,66262480223049
4;-0,0806052755339909;0,992112828517413;1;1,57087217549003;1,46349830045382;-0,731658850365048;-0,748799359344251
5;-0,0605926550433746;1,09328389851776;1;1,52824213367017;1,49436286507923;-0,693964683619482;-0,697161507563935
6;-0,0162241526765416;0,898428095551213;1;1,29110131032006;1,27298532758236;-0,707432242384755;-0,632785614153268
7;-0,0638287357281681;0,969806459871129;1;1,29805638018251;1,28488378217623;-0,702986917658002;-0,512217415401033
8;-0,0261605296137001;0,903484214517283;1;1,23379625783136;1,21117814799502;-0,542923044161448;-0,377393888334503
9;-0,074155094641616;0,837496965492908;1;1,23868283511288;1,19648930754431;-0,507383789195276;-0,353971285874175
10;-0,0643120220598489;0,981805477852979;1;1,1665031578745;1,15339939920365;-0,592582886101143;-0,237347030198422
11;-0,0227233917887289;0,761468055956787;1;1,1641442777174;1,14228852047798;-0,378762017101856;-0,148865135547506
12;-0,0465590491511425;0,919184882586412;1;1,14034154621453;1,11244492545506;-0,466214300863561;-0,0444391671081243
13;-0,0244662761826353;1,10830403527363;1;1,15607033168716;1,13162251101592;-0,46226126438124;-0,202047626279217
14;-0,0328428500544612;1,07213942107258;1;1,11622796351741;1,10845221807152;-0,439654134134714;-0,00663982678359214
15;-0,0304507313120173;1,10933282049091;1;1,12327324871237;1,10245323388655;-0,314221396657835;0,01210364299298
16;-0,0572439281328543;0,794729563072996;1;1,09502727744663;1,0907502805872;-0,307930661062347;-0,0227346501593354
17;-0,0760638006602714;0,833146418313057;1;1,09744937455737;1,07996717203673;-0,0411134484990764;-0,245197589296743
18;-0,0623523383261321;0,959484476974495;1;1,08743584922436;1,07576459115758;-0,143576561989651;-0,0633445256116629
19;-0,0616062705367721;1,14424819299067;1;1,08882840306368;1,08472210069618;-0,0417941153648104;-0,143684602242262
20;-0,0409548526188999;1,00821778435547;1;1,07254392587582;1,07438510901182;-0,0240199967766415;-0,0941373477082771
21;-0,0452427211052002;1,00286781714616;1;1,07233310221872;1,08476608340877;0,0821089796112176;-0,177915998280145
22;-0,0392977780282668;0,944772520095161;1;1,06802851376516;1,0684928690103;0,00749315172709;-0,165737451427454
23;-0,0485948903333679;1,02532008084691;1;1,06787060979682;1,07024704355957;0,0457377794513115;-0,163163211119443
24;-0,0819188540601312;0,953495672518881;1;1,06388332696219;1,06011676329387;-0,0326032518364717;-0,204666603646974
25;-0,103608373241127;0,856148064479873;1;1,0606340655403;1,06047816965932;0,0580871015035;-0,210649155600758
26;-0,0544415610146543;1,10818754181017;1;1,05612886576129;1,05392174352149;0,00144740021981589;-0,212994940443116
27;-0,0335700033304428;0,901583399659504;1;1,05611321066916;1,05237401658793;0,000709982211373816;-0,219105297046153
28;-0,0395839718948823;1,08323509325756;1;1,05067965256455;1,04685593571088;-0,00141251374852593;-0,205858217284505
29;-0,0651755130744328;0,94576762804495;1;1,05274664959275;1,04704521019568;-0,0733764334455545;-0,196302457714738
30;-0,0528324078277688;0,954667018690713;0,9;1,05085587605582;1,04160374372461;0,0211619964630113;-0,212104336842923
31;-0,00229414334864249;0,694345588680382;1;1,05215059379463;1,04632725102643;0,131335588524552;-0,120384283610593
32;-0,0251675342426153;0,941709047755075;1;1,04847237700991;1,03972347991177;0,0484515737897261;-0,124568842304091
33;-0,0373080549326287;1,0026123217546;1;1,05400349997933;1,03725216095425;0,194813059299215;-0,0524119476331614
34;-0,0387614287018501;1,06015769945868;1;1,04794691596671;1,03378972596432;0,0262749809963757;-0,130529345863683
35;-0,0391892124725215;1,01419112660572;1;1,0471997317642;1,03684013588716;-0,0426194148710682;-0,133181875507573
36;-0,0954207698316656;0,736751634496648;1;1,04000511496734;1,03450707640488;0,114514125091672;-0,175565599488998
37;-0,0890675601509329;0,92014384593274;1;1,03894422116878;1,03452722582685;0,0573928742905701;-0,0595745130016345
38;-0,0417225290622093;0,881117383486778;0,9;1,03638327853553;1,03109754273983;0,0579870650068342;-0,110743455008444
39;-0,0294567340642446;0,955474346688096;1;1,03474074173272;1,03376829793466;0,0486931132512577;-0,10373489499135
40;-0,0387365207170262;0,884543061457971;1;1,03226483386512;1,03208234067368;0,0497086212249533;-0,167005098916909
41;-0,0648096584945021;0,857668955622241;1;1,03651643885601;1,03452000036432;0,0647541024812358;-0,188790703236039
42;-0,0631537362775296;0,859283851051982;1;1,03375808895064;1,0343159953935;0,0569945300899363;-0,191919225221345
43;-0,0666549185641115;0,846044881945186;1;1,03266372309859;1,03471325096271;0,0735509716484279;-0,131410758809615
44;-0,0949978135700466;0,837332807541199;1;1,0317349954147;1,03102166540157;0,0659024615674254;-0,167673858387665
45;-0,0645630772600705;0,951627826839244;1;1,03210501082865;1,03108593489672;0,0626225573626067;-0,105381190577109
46;-0,0648152972175192;0,678586475726726;1;1,0298832887796;1,03048795567506;0,0669029272936046;-0,0567290574981945
47;-0,0678083791051375;0,904574222887242;1;1,03133489286951;1,03048533535107;0,118536595751823;-0,0219535522183626
48;-0,0518639131039432;0,945343490314824;1;1,02993694412469;1,02900173366891;0,114235176523947;-0,0595749928693414
49;-0,0161536972517943;0,987973032283696;1;1,03025468889148;1,02874236802249;0,0563257167617662;-0,0635831225278451
50;0,00972802730731199;0,753662326995483;1;1,02725813704861;1,02552713212212;0,114096185794767;-0,0661347156357544
51;-0,0271064995704279;1,04621277598821;1;1,02769539881301;1,02580558733694;0,0592285160764641;-0,0641047014804565
52;-0,0374655249013687;0,919755988341742;1;1,02688843042064;1,02426348846458;0,0518222176148382;-0,105695083854667
53;-0,0987274380967893;0,951616862937134;1;1,02573220133381;1,02203726219075;0,0490745113369429;-0,107983034163955
54;-0,0722681126698785;0,94269679838197;1;1,02481367082407;1,01962567936078;0,0521989985058907;-0,0970274450486552
55;-0,073381386045888;1,01818908026401;1;1,0255722333733;1,01989536358783;0,0536853485323879;-0,0893541928052058
56;-0,0205891042474337;0,891217020944154;1;1,0246020958073;1,02035353732393;0,0548091156672559;-0,0849206237967865
57;-0,0987388115592833;0,97311712917453;1;1,02410335436113;1,02064714117677;0,00312997568704939;-0,0855747860848016
