"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y"
35;-0,0722170724129226;0,849755409628792;1;1,04416031621861;1,03269203776363;-0,168679645906059;-0,0918117263647353;-0,154964471998103;0,0254329284341296;0,0146237070579519;-0,0790499643113129;-0,118697817582793;0,00590216736344614
36;-0,0697057594100026;0,875998269018684;1;1,03899977367991;1,0297354364536;-0,135555834362497;-0,15363032993765;-0,0897465868270829;0,062098421044782;-0,0556349661560352;-0,0750439283453302;-0,150736526306902;0,00869439878888318
37;-0,0390583656712857;1,04619323260593;0,9;1,03959433336198;1,02843169067235;-0,138989365589183;-0,0457796859105065;-0,0226597936896569;0,047783289202244;-0,0821437007774704;-0,0793974843586138;-0,151543692769351;0,00750005047461412
38;-0,0529770211935358;1,05373698460948;1;1,03895616947051;1,0279483708713;-0,171130523818597;-0,0456099843258922;-0,111781596060137;0,0764131813344248;-0,0962659913764798;-0,0762575610741479;-0,14712304696273;0,00361156416489015
39;-0,0733316601725339;1,08225778066145;1;1,03991804997342;1,03194258514999;-0,16956194494086;-0,0853988268721605;-0,116523367892173;-0,00467762109397062;-0,0976298166865448;-0,0739170819474527;-0,1467693127206;0,0492707159007338
40;-0,0671644329499686;0,984736090714065;1;1,0355412854325;1,0304716091334;-0,148184285312741;-0,115464325011832;-0,111986018689337;0,0304835681347755;-0,135740864823784;-0,0195028003935109;-0,145954078489574;0,0609539676275063
41;-0,0571265490512921;0,909743530476285;0,9;1,03664167431619;1,02930764071285;-0,123322106485825;-0,0755256490526949;-0,0691383715825398;0,0628131376736631;-0,125921482735497;-0,00467352377318862;-0,144570223049651;0,0529154938116742
42;-0,13731722983558;0,94811987350726;1;1,03525382655768;1,02813224345221;-0,149777887497142;-0,0686281843875164;-0,0932223888559495;0,0740235088236557;-0,124254403017332;-0,000903617338453733;-0,136877531023993;-0,00952444819972522
43;-0,0892361638621844;0,862871848721889;0,9;1,03367904564666;1,02926655701027;-0,113465974984865;-0,0631784602806831;-0,0495527977572803;0,0743550879473311;-0,159460159316521;-0,00436954991330445;-0,126753488722236;-0,0209072109195499
44;-0,0623299185162304;0,75309925337421;0,9;1,03079682115122;1,02809712293094;-0,10600497985265;-0,0565051281208266;-0,0355379657740798;0,0679734164563085;-0,134338070723596;-0,00140838982330441;-0,132544907029964;-0,123695534643046
45;-0,0925528569052799;0,770381097389434;0,9;1,03271234042595;1,02673490080838;-0,148416620118847;-0,0552871593678453;-0,0812930575242894;0,0648140371970162;-0,16598029180281;-0,0297534771735194;-0,126160006913308;-0,027192888484248
46;-0,0586083675126322;0,854501609509518;1;1,03103467070763;1,02409900515252;-0,15390081453904;-0,0427970519361876;0,0232649333165723;0,0360247750900506;-0,161277519230836;-0,0458973735643435;-0,120470424686367;-0,0635856669834582
47;-0,0793552698422759;0,843826211429769;1;1,03268583742275;1,02394835982757;-0,153765068511767;-0,0291842149365838;-0,0198340326848873;0,0246091903915345;-0,125453656889174;-0,0437803054696421;-0,123699725014307;-0,0681586468307289
48;-0,118761864998691;0,805309091478268;1;1,02965460927363;1,02346089442214;-0,187459241748133;-0,0400317927625208;0,105459329713029;0,0322203414182313;-0,125399538940102;-0,036779950939484;-0,125531451640629;-0,0637286951886529
49;-0,0779367555793335;0,867024990738581;1;1,02963639270229;1,02466259146874;-0,178799287212175;-0,048999484042026;0,0546768956932465;-0,00486345280295847;-0,147383767277189;-0,0696650343652899;-0,122287070391182;-0,0881159658514352
