"column";"variable"
1;"It."
2;"bias"
3;"CIW"
4;"cov"
5;"R_mean"
6;"R_var"
7;"AC_mean_X"
8;"AC_mean_Z1"
9;"AC_mean_Z2"
10;"AC_mean_Y"
11;"AC_var_X"
12;"AC_var_Z1"
13;"AC_var_Z2"
14;"AC_var_Y"
