"T";"bias";"CIW";"cov";"R_mean_X";"R_mean_Z1";"R_mean_Z2";"R_mean_Y";"R_var_X";"R_var_Z1";"R_var_Z2";"R_var_Y";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y";"bias_LL";"CIW_LL";"cov_LL";"R_mean_X_LL";"R_mean_Z1_LL";"R_mean_Z2_LL";"R_mean_Y_LL";"R_var_X_LL";"R_var_Z1_LL";"R_var_Z2_LL";"R_var_Y_LL";"AC_mean_X_LL";"AC_mean_Z1_LL";"AC_mean_Z2_LL";"AC_mean_Y_LL";"AC_var_X_LL";"AC_var_Z1_LL";"AC_var_Z2_LL";"AC_var_Y_LL";"bias_UL";"CIW_UL";"cov_UL";"R_mean_X_UL";"R_mean_Z1_UL";"R_mean_Z2_UL";"R_mean_Y_UL";"R_var_X_UL";"R_var_Z1_UL";"R_var_Z2_UL";"R_var_Y_UL";"AC_mean_X_UL";"AC_mean_Z1_UL";"AC_mean_Z2_UL";"AC_mean_Y_UL";"AC_var_X_UL";"AC_var_Z1_UL";"AC_var_Z2_UL";"AC_var_Y_UL"
11;0,0158211482764651;1,7656017518728;0,7;1,05975637449218;1,08210189107379;1,08745520276167;1,13171945475478;1,07401492819653;1,10234464150495;1,0925359959569;1,11013216298538;-0,384602258545391;0,124389779899142;-0,184513201172065;-0,030281731633297;-0,50382151587945;-0,249603685563739;-0,149365231135897;-0,0957468388715978;-0,580885128593995;0,559221411270129;0;1,01200771844069;1,01353986732842;1,03009275419102;1,05693689849916;1,01931711856753;1,04385826497351;1,0608525040704;1,0513954884721;-0,672969112057849;-0,371135993864424;-0,474759048392713;-0,446755243980182;-0,730276519896388;-0,655722279269299;-0,574377073341555;-0,617783751395319;0,906621572305414;2,96406047800253;1;1,1196596682073;1,11816139287199;1,15490609049961;1,19967932678451;1,12865961442147;1,19657048284705;1,15212044480073;1,20406806200655;0,258624253131457;0,666397943104742;0,326992101262223;0,40235130424798;-0,265450765169087;0,300944444416977;0,484748011436396;0,514483657586869
12;-0,142944868199523;2,07632173968972;0,9;1,05225721269543;1,05564711345805;1,06311937109191;1,08675287978728;1,04612546496318;1,07372969842024;1,06503082929044;1,09056660024591;-0,375765276881174;0,152780916451395;-0,252641336600527;0,0576509691967287;-0,344984696401271;-0,352394742917051;-0,196719943337988;-0,158359343562853;-0,882380506400887;0,847483862738765;0,225;1,00531809730378;1,00189361177513;1,02395714327865;1,02649776340306;1,00581868531645;1,01219970694192;1,03750378910773;1,03533253186321;-0,702546598521962;-0,375364249670771;-0,549714905655506;-0,378781319056617;-0,689456795650237;-0,684694769163727;-0,541080702416626;-0,495771322668408;0,673846227629413;3,57276829294247;1;1,11652930462919;1,107693140677;1,12962150007766;1,13098337245344;1,08595958377034;1,14094779239109;1,08978233656305;1,1790843286057;0,23302095662774;0,676701462780794;0,320560712039559;0,407294789588004;0,32607172789306;0,163426502951162;0,526717618049695;0,501703447458409
13;-0,135030969746273;2,4334918181084;1;1,0591042236905;1,07604823156732;1,0738942349187;1,09675956379065;1,05474778832226;1,08294672195381;1,06284255962431;1,08005318206425;-0,366445255358631;0,210053699946558;-0,265296771149637;0,0517233280664656;-0,262613750409832;-0,194499952825733;-0,188835791596172;-0,313204043893678;-0,887855519008645;1,56261007905974;1;1,01319827239987;1,02520705329036;1,02531853366705;1,03619068282758;1,00030437768192;1,03435785707524;1,028666396969;1,04976123463941;-0,690135132388562;-0,31981494376656;-0,565887405305071;-0,384167531277686;-0,585470060614423;-0,638213404584437;-0,504731835677818;-0,532349033157049;0,642185114354972;3,44881760994701;1;1,10783498196224;1,14995088460594;1,12023848535673;1,17596891024572;1,09677896575133;1,18416489630559;1,10320910472498;1,12212333997696;0,229095096853272;0,666057505971573;0,293697156424758;0,428417233878119;0,412655833325041;0,330319582529782;0,545133778675631;0,10614473554341
14;-0,069939745625585;2,30371963620042;1;1,04571747538472;1,05919583708889;1,05813721355381;1,07897671051704;1,0382472983988;1,07344479563017;1,05022438344151;1,06568915457384;-0,419146142184782;0,159824158264286;-0,125139494956718;0,0518839042823759;-0,269242394436419;-0,171472772605983;-0,284994008249387;-0,296811083567486;-0,797202316642717;1,11921476259638;1;1,00259596199244;1,01542047280621;1,00137612864187;1,02319916393702;0,993953735588051;1,03312351711291;1,00371262586823;1,03981594494268;-0,640023613111444;-0,359409470969474;-0,467741117608449;-0,426044378042789;-0,613795321806283;-0,617665796038082;-0,540334378935391;-0,455678299441429;0,830979047284999;3,9549736994972;1;1,10048464941074;1,08997483390266;1,11010123393235;1,19802299379964;1,10955907566823;1,15048020946593;1,11139695781516;1,10256400815721;-0,240419876168478;0,526608514022734;0,335793254160835;0,517045092404874;0,370143018665067;0,341234215010815;0,270187181461817;0,15263502353224
15;-0,0466059329457211;2,10772830778724;0,8;1,05239854585151;1,068679314288;1,06361079507967;1,07520387247398;1,05088983718959;1,07200465540318;1,04798401340002;1,06415782920989;-0,246690650170517;0,219127443047535;-0,133782122766987;0,00768421699940562;-0,235069722183109;-0,202971993773222;-0,166546875625563;-0,235133816068239;-0,752191425564309;1,1017570964436;0;1,02048446988741;1,02087660247444;1,01310210259389;1,00761186140325;1,0110774832971;1,03531423207684;1,00479777081501;1,03203402195979;-0,653619307075318;-0,313477465472431;-0,498276074036385;-0,422787164676972;-0,574553508637358;-0,570305454953049;-0,558417837530686;-0,46077964903808;0,899000114121675;2,64300958762143;1;1,08146212786338;1,13924091353076;1,12042894221461;1,1652039413914;1,10455672797094;1,12398582782464;1,0933819183971;1,13395113850404;0,296042946495094;0,608500839475757;0,347321381933274;0,518722207183414;0,399291136873117;0,330850896377768;0,408763318978344;0,275490621701742
16;-0,110954306752994;2,03980589578932;0,9;1,04230087820635;1,05279563793172;1,0596913418191;1,06499824472951;1,03031508838101;1,06320451845963;1,03553379259477;1,0472593646636;-0,380110365776261;0,21520451973713;-0,0499747955454204;0,134123780030641;-0,133821639665181;-0,0591463952132202;-0,250695714052492;-0,179177190560842;-0,676506199659746;1,12357497803119;0,225;1,01786194556055;1,01463070199764;1,02923562212067;1,01043253587727;1,01251526202312;1,02339133939481;1,00684047322153;1,01661148947018;-0,621507835309268;-0,283965543608293;-0,502507515363402;-0,37965713816361;-0,564964907647539;-0,418766284814037;-0,568631209785396;-0,50705412037589;0,660528939359515;3,33493903341037;1;1,06806133644503;1,10355421219818;1,12596647658479;1,13620052203718;1,05686879514021;1,11794243604984;1,06477525045493;1,09066890043656;-0,199331234662887;0,617232577841214;0,362723000427866;0,479118419518366;0,460789993714978;0,392016582506229;0,344791940836769;0,276827738699366
17;0,0921935511233931;1,71179109259738;0,9;1,0493399525322;1,05642555217345;1,05609962556671;1,06687306838384;1,03646366626664;1,04903377806896;1,04121150858891;1,04817585069007;-0,259710845382189;0,264901101224379;-0,105708977494634;0,088003238525664;-0,168800424829383;-0,141307179718602;-0,148152757224552;-0,101111531921463;-0,520057511058902;0,857992292912712;0,225;1,02235382853534;1,01949389919264;1,01847334211564;1,01158881397354;1,01131052558786;1,01696401566367;1,0202753924149;1,01899046940928;-0,600360242581788;-0,257470585401097;-0,483067351239635;-0,367316237400721;-0,583679345467536;-0,468083304765697;-0,572082418068496;-0,431216762601123;0,93785040553347;2,36876571826782;1;1,08076931318883;1,12472529963845;1,13015245490323;1,11142833749864;1,0586750234851;1,0958109354681;1,08041479485243;1,09633320334171;0,271903433115912;0,589074573555045;0,345428307782026;0,430225147130091;0,332628685408035;0,268574332977813;0,407504146363158;0,329041927962111
18;-0,0710311591506023;1,52586095378418;0,9;1,04269701935466;1,0500570425693;1,04837683333181;1,05607702136408;1,03565233974783;1,04482201593195;1,03772647629524;1,03693889430804;-0,253571454014681;0,278696423716249;-0,0350664334540895;0,120652076718208;-0,116733064835971;-0,147677206384104;-0,132429305900173;-0,102066956061927;-0,531368459648899;0,626895235816767;0,225;1,02244485302776;1,01614568373952;1,01342318784197;1,01558012911386;1,00908233991491;1,01465748084286;1,01145756035073;1,0056251562948;-0,584009603433078;-0,267090535811174;-0,487642201999598;-0,433210662800316;-0,547054075799015;-0,481360994675871;-0,511339973818458;-0,446487425339823;0,628419551654325;2,41521946591464;1;1,07074530101622;1,11146058126343;1,1520426834322;1,08500316129749;1,05820398385776;1,09726131569923;1,08313243376512;1,07744445917673;0,313371381267679;0,554208129703553;0,351183164615476;0,437010766082403;0,444229410139182;0,264051963082238;0,407333621080401;0,277142772206295
19;-0,133543343271111;2,04223851941192;1;1,04889533995118;1,05559447181085;1,04205333697049;1,05953983509552;1,0390217861046;1,04449387191811;1,04394200209819;1,04155943088179;-0,24117784894735;0,279164932651022;-0,103467413080634;0,174721243657648;-0,0473918704198919;-0,149709328222392;-0,150544948632815;-0,0776138936775691;-0,787273349091885;1,18535184419282;1;1,01981199778692;1,01593940430715;1,01766312433845;1,01293995397786;1,0076575402281;1,0230047194474;1,0089865643741;1,01105039054878;-0,58541768424016;-0,255217536144067;-0,486019818873348;-0,387451690182445;-0,551861378779546;-0,488772162890014;-0,408572939064706;-0,491666354310167;0,531889933094339;3,04202836122825;1;1,08307145210516;1,11830093493353;1,11855252834223;1,09392692057012;1,06908380552091;1,07883223533064;1,09282067649588;1,06891293927269;0,312814988336735;0,533823624252866;0,306546811002821;0,429582788478216;0,426967809261573;0,242718282740403;0,398032387970115;0,279727930706203
20;-0,0611706741485357;2,23781621995334;1;1,03827945988135;1,05221207515904;1,03980683834188;1,05637281620452;1,03046039224725;1,04467228179002;1,04147342653197;1,03884346271913;-0,261329846069088;0,302673684021984;-0,128082224357447;0,122880306461012;-0,0555989039261949;-0,185765916058547;-0,0924039753543394;-0,0780624085022298;-0,681630984705994;1,12717270450525;1;1,01597523883379;1,01181496660998;1,02020497613881;1,01629506532054;1,0066479480778;1,01883124324135;1,00451495571105;1,01613053290908;-0,556347378778035;-0,173013476957562;-0,480378038402166;-0,338420397859607;-0,531820521073693;-0,45269529738272;-0,405273976996083;-0,510085836624121;0,71449960655976;3,69164636821889;1;1,06491812716573;1,10923533607674;1,09097728015161;1,09078188214744;1,05154806220575;1,10188256138997;1,07462502725476;1,08436664965557;0,258146948511087;0,535539974172833;0,343752946012625;0,372933672181983;0,436448095466325;0,214294937538728;0,388758471641353;0,266378125289771
