"Bias";"Emp.SE";"CI.width";"Cov.rate";"R.hat";"R.var";"Autocorr";"AC.var"
-0,0345982786270582;0,0798317369775131;1,0062567116332;1;1,01796206136182;1,01703633240758;0,00114955082604618;-0,0441058486365301
-0,0500066273368023;0,0734061747087206;0,954042795378805;1;1,01821610654579;1,01707167063016;0,00596563480048011;-0,0705700827902058
-0,0385548872277637;0,0683562471664906;0,94262786593417;1;1,01777068687601;1,01642688045887;0,000476636949276678;-0,0516899700766528
-0,0520334578466404;0,0785195305615664;0,994825064384813;0,99;1,01774928853907;1,01644040740365;-0,000624731363266325;-0,0412011317251711
-0,0379263763536009;0,0759189416632932;0,913546454377245;0,99;1,01714917666754;1,01621410144183;0,0100575884008171;-0,0612366912434067
-0,0542673734259775;0,0733437492139348;0,964878577965773;1;1,0172022869471;1,01639653524072;-0,00183032338229828;-0,0484423317880807
-0,052114297955649;0,0768967652631245;0,944823630547893;0,99;1,01644780577571;1,01619951594978;-0,00196518090360268;-0,0292565792788175
-0,046695653154847;0,0750741094988965;0,97544214446353;1;1,01665636166899;1,01631795580299;-0,00511178406030477;-0,0548126306066938
-0,0477476648331592;0,0736121310400611;0,943152331955034;1;1,01651947439377;1,01584724275574;-0,0132584717636011;-0,0583947657439465
-0,0532198668661639;0,0794437341898858;0,918341041181009;0,99;1,01659365413702;1,01583783513466;-0,00423619118031869;-0,0672655535935759
-0,0541936792333848;0,0746288498047883;0,941205552576047;0,99;1,01628750056647;1,0153377357836;0,00343620285900937;-0,0635996907593187
-0,0513211658875399;0,0724576349817443;0,97935564932104;1;1,01623721068602;1,01537346083598;-0,00375263977890793;-0,0618806232323088
-0,0445188411913457;0,0716129215269123;0,969023557934699;1;1,01580159678936;1,01480587565302;0,0123819183150386;-0,0557993971607529
-0,0410297888713023;0,0758922832599491;0,887187861729526;0,98;1,01582159230637;1,01510609363253;0,00705540320502466;-0,0486583184340554
-0,0514047994249183;0,0692507366246734;0,958360119439252;1;1,01524241061116;1,01474344947854;0,00843836662609083;-0,0445760149722857
-0,0443973016523453;0,07234214859956;0,90982268635467;1;1,01529316833562;1,01485386768897;-0,00364962982129951;-0,0529752727354921
-0,0394410942629566;0,0787848524652788;0,947612357315141;0,98;1,01476859792502;1,01447159188444;-0,00389190907613236;-0,0497412952609291
-0,0512227530516296;0,0802193340004387;0,93494572769283;0,98;1,01484085367249;1,01447046237409;-0,000382255135578908;-0,0361707401698833
-0,0365526217464924;0,0642881982120134;0,919368934997836;1;1,01440396976837;1,01413243943403;0,00705515140500502;-0,0407044632339678
-0,055409838294223;0,0733001047496379;0,97914272552502;1;1,0146415228921;1,01417746009742;0,00254462389170975;-0,058476717804422
-0,0494560776744855;0,0753071964326795;0,855845665273798;0,99;1,01448010130456;1,01404066582927;-0,00765272545851783;-0,0480329650766501
-0,0444983269675983;0,0824461876237632;0,933377784076602;0,99;1,01416818807243;1,01423714363432;-0,011483597869924;-0,0530854176762806
-0,0311646359731268;0,0741938932492607;0,944927269248608;0,99;1,01395570467158;1,01373612644339;-0,0106818556701732;-0,0706805995171038
-0,0484799895795465;0,0697505391211578;0,928250289976415;0,99;1,01414291556107;1,01390961447714;-0,011963083094411;-0,0707230252771488
-0,0536664324875262;0,0795932274763363;0,874805569751949;0,99;1,01365935931067;1,0134283946585;-0,0124828423762611;-0,0644924570503242
-0,0500553220973039;0,0865931243719143;0,924602838903829;1;1,01365079612434;1,01346797451752;-0,0018904861120454;-0,0585824399650782
-0,0459293846312219;0,0732542011445943;0,952866886850465;0,99;1,01316759416556;1,01317865643766;0,00618462427608459;-0,0631575266676536
-0,0435038400104755;0,071388053316277;0,984568065882275;1;1,01319533998042;1,01311538335513;8,06868541230577e-06;-0,0605018533551278
-0,0458593241134215;0,0723431317475012;0,92699135526472;1;1,01283001298861;1,01287852193571;0,00255853998372417;-0,0583428632200311
