"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100"
1,83037052185833;1,79195031067206;1,84434847609214;1,88913608954734;1,78910390784726;1,86962869637284;1,82293137900674;1,92521831360822;1,90241263479796;1,87519605356386;1,88873972111213;1,8918916535492;1,87445693380644;1,90860407135913;1,86499155329211;1,88067372801542;1,98728239092613;1,88729339887917;1,76952767731305;1,88484145116707;1,874269385183;1,85256329257653;1,87011567856411;1,88513827764654;1,96721240939444;1,87024567442014;1,91275843907645;1,82039050643433;1,78247776688281;1,91404347034576;1,86064602637928;1,76036980782622;1,81301148845346;1,88550025924216;1,82685269783864;1,76381345499596;1,86312322465932;1,80739408983369;1,84870193837115;1,84805898990626;1,9286674583543;1,81012356428771;1,82475955601701;1,90507641038243;1,8632881803658;1,86052688768575;1,92250956231976;1,82225680914197;1,83804115796938;1,88856055710208;1,85783665218191;1,81577067502663;1,90704883102844;1,8655427207309;1,77001978544898;1,8968744060002;1,80891805679689;1,87059353140832;1,8920792884168;1,90836520797738;1,8365592845738;1,9143233213011;1,91078535145495;1,81389114770041;1,81197068163804;1,89325231433877;1,87156921248095;1,87220639643415;1,80860524690584;1,91048021082845;1,84824840347942;1,87712592171801;1,90609824116715;1,91799140748333;1,88695873981214;1,81793961769841;1,77689765614965;1,88317709170729;1,87170288662244;1,9128890330248;1,96124223276334;1,92876330517786;1,90266158286415;1,88323091598689;1,87716723841095;1,89290832853293;1,84062140434313;1,84505968774695;1,86812097081476;2,00769089663094;1,86766443239879;1,74035850825679;1,86524437735988;1,76621999279271;1,81039170239319;1,85152494913482;1,86138811980156;1,93011074965142;1,9290232739005;1,82219088775957
1,90372895251185;1,99625725100496;1,86428380106516;1,76588504627738;1,91495082262969;1,86299432838947;1,88846527577728;1,91434667400525;1,94618369670504;1,8934951436881;2,02868892207348;1,94277964991428;1,89139067295471;1,83637122728054;1,91786198529126;1,86077429005131;1,97008461542132;1,9786239923979;1,92399456731043;1,90298682638754;1,88575622458343;1,91259287895895;1,86019988701503;1,94265981670789;1,86907929977292;1,85642816816688;1,94990776592589;1,84235716392557;1,93082754673244;1,81325170637016;1,95733047113638;1,9163473772054;2,00211438489379;1,90897327227129;1,97267844120117;1,95614965470023;1,97522345791099;1,85987037947293;1,88858700487352;1,92253927831814;1,89946891723912;1,84642845607458;1,95360270073559;1,81133476529275;1,96662695995396;1,86353948578448;1,87961959529117;1,83478591422502;1,85722936587747;1,86317885585969;1,96477067664305;1,91127170431054;1,91343722871966;1,81032087455942;1,95385924087804;1,91537914577409;1,84468010847121;1,95054029902094;1,88944369107192;1,88850958115086;1,95509680093958;1,92911893290879;1,97483056883827;1,93596909548848;1,89130387471049;1,91537695687392;1,91174430103926;1,95966277426853;1,96530593287821;1,91781614159647;1,91068235992649;1,95071870938681;1,86661367407297;2,03711134514794;1,91912032298125;1,88747524052954;1,92648995091817;1,89912195305552;1,90750845223363;1,94323406969544;1,80596859873297;1,83182774167991;2,03105629943992;2,00227354659742;1,93860936164026;1,9113384446051;1,98381385188139;1,90968083960954;1,85062661438966;1,89490444600951;1,92588600267338;1,92380552944607;1,85602475607599;1,98961260037584;1,90106770604131;1,9137782981626;1,91462614525181;1,86061054040738;1,94828902825917;1,90829582223186
1,9242224826151;1,85220478110767;1,88399558753689;1,89002550179517;1,79801693808755;1,96254392893249;1,96222307462254;1,85489159977452;1,93522206382874;1,80256766619272;1,89347556390837;1,93485869578276;1,86901423829946;2,04163123656663;1,84845313047445;2,01557899060903;1,89816828497245;1,86022034297136;1,94845569441676;1,84634936844211;1,92245091846063;1,84062667028342;1,87360902329104;1,91557703034572;1,9523950978272;1,99261691176285;1,87196215975728;1,92203314194142;1,98279763314602;1,79334315175881;1,91347283058711;1,91234378532566;1,98076900612358;1,90078378494731;1,8610272179152;1,86622605731632;2,0127440660056;1,96608019388042;1,87853999105249;2,00346559969119;1,92504724449901;1,85550903357538;1,92123339197822;1,92394612200754;1,84283209254306;1,95957584908018;1,86833023038291;1,83282405655398;1,99888761003368;1,98156159543997;1,98529811255207;1,92944909508085;1,87003185741601;1,91205079379039;1,90468111978987;1,89831271126795;1,90487280864236;1,90603448657233;1,87310679696504;1,86445432818352;1,81707921877576;1,90089893407066;1,97615169052674;1,92219929375155;2,00884313191625;2,00791763909929;1,93961014122853;1,9835212305363;1,87625368648825;1,84619374059878;1,89256046405237;1,86930727860526;1,88174808150013;1,91275755023213;1,92245431103558;1,90505450897303;1,88028835204185;1,87796130404426;1,93967838629691;1,85424687473216;1,84205554931092;1,81809130463303;1,94050226163392;1,98633309203413;1,94520141197607;1,9779606449981;1,85520606945055;1,91217894005699;2,00085392405058;1,90936739976823;1,89571141841564;1,90148426420494;1,85004533689462;1,92944445984733;1,85878742996247;1,88048568864058;1,90754247881881;1,92875334599665;1,96210785236058;1,95986874820244
1,97090331027411;1,94958469588888;1,82681406807464;1,95012325590299;1,8934895627148;1,84857789945815;1,97486955684069;1,81885530151958;2,00250995453443;1,88955435726438;1,83216816582425;1,9413437022208;1,89051684162722;1,90526395360484;1,84300177984922;1,88908246028919;1,91082721899113;1,92690120747229;2,00404731506096;1,95888766163627;1,81720888398862;1,95125756875398;1,96707821577963;1,84313532351316;1,95313810430192;1,9434359472726;2,03341572650265;1,8739116925576;1,92155932313424;1,78555977988354;1,95212591977658;1,93575718923572;1,89209846829547;1,84039869087477;1,98825071210102;1,90852214154618;1,91550602811761;1,90867968535429;1,88815655854771;1,97962760511417;1,84711033599866;1,86769337821817;1,91699589144314;1,90730483529845;1,90274228948254;1,82693293965637;1,93260242069315;1,81803681859674;1,95514060310403;1,92279323248982;1,86940827046519;1,90105845363866;2,0077799123419;1,85720944053983;1,84710388216291;1,92262846770734;1,9003299382613;1,85392309955092;1,87040230084708;1,85792419073558;1,80314871463527;1,80265148219304;1,91923514930264;1,83400653902404;1,99025964437119;1,95899105702228;1,86045347365437;1,93671717718114;1,91490411149706;1,9221416061456;1,88058603298903;1,89049195125307;1,93220176285173;1,92700383662714;1,90757561228714;1,89956604733983;1,85541914143559;1,92499108729534;1,95137283314438;1,96240472922116;1,95416202712385;1,93520441249103;1,90356590583615;1,92308254611482;1,85331669848863;1,94414224925484;1,92861645838335;1,92140721035464;1,93765398827868;1,805106054782;1,91938532742552;1,92940145568486;1,94861861380535;1,87534340503043;1,87290849732967;1,97206397085235;1,8756872065447;1,89126143097756;1,91479794477919;1,99229653416065
1,95385893996977;1,83409853195106;1,90750093501942;1,95043335155554;1,864544212228;1,92553311252268;1,85179184311483;1,94223471212461;1,94233693932125;1,96366216707854;1,91430286696999;1,91460778893769;1,90558788531396;1,95996010364701;1,95270372428122;1,84897799501093;1,86825979025455;1,88547133268111;1,82280437091294;1,95036496388753;1,86200490525458;1,86055905661407;1,94099315169083;1,90465613369358;1,93880737440413;1,92434280836048;1,84804099719731;1,93788139092092;1,89597965332087;1,85156953753069;1,91967410936219;1,87115102820082;1,95178191837848;1,93522819768778;1,86107555456648;1,91504081287454;1,87441043833334;1,99502207602886;1,86655496181175;1,94998439631466;1,92012811708954;1,9795782238223;1,89470369265691;1,88313334538164;1,81941032780919;2,00845666093917;1,88753068548426;1,93359149190253;1,95976814308014;1,93870987693433;1,91821277085489;1,95851679736653;1,96140613713844;1,94376169619025;1,86336188978426;1,93638704298333;1,86796616385313;1,9121018774083;1,92322539586682;1,91389470515172;1,89906143699626;1,86953822050367;1,90266891571194;1,85101492338828;1,85406863633374;1,9309996640441;1,93173373162304;1,81298651864699;1,96242937599111;1,9084942011681;1,94876395337242;1,81048241876788;1,88107401420101;1,90730457983516;1,99939894475926;1,89698316814457;1,86252434301188;1,88425708600176;1,87338379243671;1,92146193257348;1,97373174566531;2,02332315738069;1,82582364871413;1,90944342760758;1,95132287945265;1,95416658199144;1,83651283491487;1,98945534813724;1,88368767349954;1,89108744093282;1,93103525274955;2,0186095540522;1,95988546696238;1,94642733199072;1,95215469596982;1,9449945544719;1,93372206168942;1,87054236965971;1,92797216093082;1,97014382595051
1,9757846872811;1,89614609823504;1,93523909890301;1,83021709496805;1,96620020985478;1,86845469022203;1,92949054431749;1,8672137046425;1,96126396876148;1,9488981019985;1,96212506742817;2,02486876843588;1,96600136069229;1,88597393380929;1,90588822281004;1,94221776198136;1,94497037801552;1,94491418282142;1,90496860727446;2,01965889905988;1,92233056573437;1,83419875388336;1,89632010861972;1,8887758296249;1,95291200717078;1,86998273961503;1,83478875627569;1,90876015056094;1,84532135444898;1,96260625078778;1,93947062054245;1,85055944789761;1,98317642691448;1,85008233433621;1,88949927919126;1,87551909305896;1,87727146532776;1,90775716136283;1,92844849673209;1,84975189314538;1,9017304640895;1,87717833253774;1,93020506242841;1,92568079382856;1,88700047903944;1,9224459762669;1,87829693410113;1,89794273475148;2,00721719820871;1,84035878980836;1,96271409958063;1,97033219894049;1,94341332721906;1,95863958983138;1,87377366564695;1,89137900109454;1,92947925781799;1,9595481818697;1,87823227718509;1,82333902716092;1,89399090188834;1,98784119301563;1,83556376612636;1,89713245129949;1,81117170395286;1,91796581165386;1,84037122207522;1,99288321755355;2,00565119395914;1,88745757082625;1,91912698742589;1,86800261944486;1,89351358675833;1,91357952675784;1,89494617395816;1,92502644415513;1,82613537142911;1,88372193800811;1,89931878787544;1,85784747300917;1,89043538205797;1,91330971198223;1,85766078844043;1,91020645055355;1,83890590860725;1,9605321244557;1,91869998914128;1,90672282633733;1,91900090820934;1,93694246349403;1,88397096811235;1,84708553145774;1,8370881316985;1,95878943486682;1,93558486616032;1,90006176389254;1,89492321173201;1,89970979524536;1,94515968915838;1,92430365955894
1,88264549215557;1,91234953663333;1,93354974384654;1,86065355486231;1,94489404809639;1,83195417165107;1,95660144513117;1,88653667653126;1,8494739689924;1,90805005301904;1,94968428239528;1,90878439300278;1,86115101901057;1,96721655750928;1,92386612876887;1,85159309029291;1,89594276718747;1,88860067597951;1,95241942890317;1,91492582402484;1,86200147047262;1,88878220133618;1,95986846604163;1,94070164502505;2,02738916701849;1,85335330414262;1,83429968213052;1,91443786066187;1,88744599432139;1,95540990347066;1,93864818550264;1,84301402937692;1,97884084995982;2,00730714724897;1,92533877896249;1,88955884532139;1,95315998609087;1,94409661773848;1,88054522198479;1,91334774944463;1,94432175265917;1,8951344175506;1,9086686259571;1,87468454471608;1,93810897503902;1,9045239160558;1,87686498791641;1,88111472020572;1,93699905077051;1,98419165569449;1,94512581939306;1,90031541900713;1,91164290864513;1,96847797853505;1,90405071252357;1,89288697892561;1,86099688967085;1,85381817103688;1,93340363408437;1,80905764846926;1,79341575386123;1,8966963810012;1,91083762762777;1,88841840099724;1,92600675494085;1,91987197518123;1,87170169204357;2,01652385663596;1,81866450295299;1,86129782869215;1,84593421274405;1,97928644722562;1,86437537463316;1,87082090208308;1,80134238043117;1,88376492782051;1,92408973224338;1,93855094390296;1,78675230497239;1,93948630780174;1,85020749811522;1,93628676362796;1,79063630395662;1,9412970905674;1,98459293347368;1,96283889041439;1,8819772611258;2,00835603532713;1,92619763521429;1,94472373614287;1,9589673039657;1,82390168308613;1,85912331086999;1,91301156350729;1,93580929639861;1,8762011801258;1,92476660827758;1,83204365286281;1,92612387905942;1,9250855202088
1,90582747665741;1,85555484977902;1,89967579079496;1,92160351818992;1,91940513415771;2,07788864998182;1,96494955101693;1,80796358387823;1,92251992246454;1,85874472788002;1,89063447173145;1,86905414551963;1,89775708831251;1,95151374521632;1,91358113342099;1,89267598654192;1,90542678004157;1,88204315864039;1,92053241029136;1,80252458724848;2,01693129584911;1,93516232874944;1,92240663709602;1,96041131726272;1,76665835244739;1,86171142264797;1,92725424927145;1,90870086919861;1,9242890757214;1,89509751548779;1,84866356073011;1,85567324654947;1,90564288393867;1,85138913321536;1,839678742898;1,9650816136328;1,94204948940862;1,89786839291385;1,82477608001241;1,91430042776718;1,90437155473736;1,87837516736514;1,95044306865157;1,8516172369846;1,96292423270417;1,83267675850079;1,88545524151378;1,90635416240069;1,9476174757912;1,91253279668579;1,83579969791923;1,89161476364675;1,90155528310066;1,8919364798107;1,90199803277332;1,87433971303618;1,84240711059372;1,92685983783648;1,92455340861998;1,89635639203917;1,98345180658483;1,92998179376987;1,98462460622645;1,92258973266826;1,91705928343021;1,92353289834735;1,90436125716199;1,97126315534104;1,83409515911456;1,9767310142109;1,94486886637413;1,93340270183889;1,75358728264856;2,00838498889375;1,82476153354245;1,91427462899191;1,87758933029547;1,82307410492841;1,85941432900298;1,83029301141885;1,95003473962755;1,87562640493612;1,90476297425407;1,89688090031087;1,91247722472479;1,89629573933661;1,91539374916899;1,90592382906428;1,92391516397659;1,93208850644778;1,81923770904354;1,82945551381256;1,91020752041067;1,96246800004949;1,85719653994877;1,94323591092124;1,87510455324814;1,92036469517635;1,90373428486018;1,89451497987321
1,89470775672432;1,94011520574688;1,87789399499349;1,87672305052404;1,89656646544038;1,87574397855966;1,88951235038033;2,01632057341036;1,96233046471459;1,90442602830407;1,86557374975155;1,87967105116869;1,88958870605765;1,90801690586343;1,85933766045411;1,89627301892455;1,84943473119359;1,85071243145665;1,96940514718376;1,95699129992213;1,96134544745843;1,91486886318199;1,84135747927219;1,91248905083077;1,86480064465002;1,861071398903;1,86888390521718;1,83274594124784;1,79707383448524;1,86217054172065;1,93766280163676;1,82847432698494;1,93417492945491;1,88443676346297;1,89344611522818;1,808862137272;1,87484006782934;1,97533694481898;2,03112360801896;1,90314294621856;1,9644052740102;1,93965717642453;1,81784600097782;1,83554463153476;1,86402690661186;1,87951923021545;1,97249263348432;1,82873469323845;1,95322233546353;1,97036283424428;1,90359282405556;1,91096929036627;1,98177832899336;1,99027072134658;1,91446937998732;1,93691217808283;1,92008787538907;1,94805795115942;1,97822793737687;1,87995880594983;1,85464211272936;1,97366948041904;1,87626246611029;1,99103969262664;1,8256969952125;1,85641032055698;2,01058456511349;1,89451339630818;1,9328940228239;1,96405124596983;1,87684107187655;1,95492753322444;1,79713993650788;1,91908724846377;1,88591621589655;1,8691995332743;1,95261268722376;1,91262966313478;1,87826223366108;1,91098874417334;1,87534824610312;2,04440838549914;1,83902964505288;1,81940828840924;1,89934184550254;1,93915088963097;1,8895134985223;1,844074511947;1,87531325150183;1,90385427166126;1,93331064651624;1,92868058014072;1,8681717121878;1,86564907922323;2,00020437163594;1,89557851274385;1,89124250088204;1,91324057235924;1,9287797532005;1,98323875693822
1,98311675633106;1,84913722615341;1,86817743459623;1,88005812154058;1,96994499801766;1,8317310311427;1,89165787567414;1,90155692944365;1,9897035557799;1,96463542907973;1,89864901335218;1,93801034174518;1,91135882293846;1,97439462345068;1,97717261343268;1,88950379923852;1,91489734777468;1,83198275447989;1,86474396055269;1,86723695426222;1,92563664565982;1,81983803696074;1,93721093785196;1,91998460420902;1,90707255961498;1,76783484730876;1,99031621395143;1,98160578193506;1,99473866966284;1,83875221329654;1,83782860772174;1,94521920275717;1,92613570215274;2,03321363360122;1,94173629062598;1,96984957140786;1,89543607146134;1,97458082220277;1,90063200245182;1,96711851325962;1,85110090033389;1,86360577643579;1,99033263142857;1,90440845348694;1,93753319287706;1,92186016257966;1,83863256725838;1,86023325464953;1,91405593177284;1,95269067952221;1,80870390193918;2,00797483165119;1,96820416316588;1,94429722272203;1,79337445808034;1,93946173790051;1,85201524536108;1,94426963570156;1,8292756230374;1,87352294833933;1,86942844400577;1,86470905091495;1,97870174331297;1,93423517696163;1,84957095680251;1,92811464778805;1,90736857006856;1,8401167092102;1,8643110695585;1,90660803753309;1,90479957417769;1,9456008521303;1,84380544977269;1,78161290282984;1,86290218236654;1,83889137596604;1,95340938595438;1,89834035252729;1,96173237346036;1,98540476199251;1,96681682235748;2,01733191842926;1,82545668101605;1,95746427187014;1,9474795925252;1,87571509221297;1,8988265380296;1,84701334264207;1,92137480840574;1,91506645246012;1,91525108677055;1,95839152032249;1,9459473222785;1,80874861425042;1,907883990163;1,88019798662724;1,93792090554197;1,95815861653395;1,94890212115603;1,93026436058641
